log_sigma,alpha
2.3094100726866600,-0.6001424417019250
2.2903987751901000,-0.11443685339450800
2.4352322963213200,0.031478219288660000
2.3648056761774400,-0.19913755634564400
2.4587777493484100,-0.016936186529397500
2.3073826807324800,-0.5928076670408750
2.4185675785662200,0.3575453143281010
2.3219024363960000,0.04282146097689400
2.354359109699180,-0.0463645866032234
2.3891440141993300,0.0357344972868372
2.3861767489388600,-0.2713113230221890
2.3343081745656900,-0.15764758529138900
2.337991002920450,0.04714635553379590
2.3312990722299200,-0.40078268807812700